True,Prediction,%Char1,%Char2,%Char3,%Char4,%Char5,%Char6,%Char7
pqCSV5F,pqCSV5F,0.8044179081916809,0.7681781053543091,0.937751293182373,0.9179164171218872,0.8102842569351196,0.9999983310699464,0.9984127283096312
y5TXusj,y5TxUSj,0.8128613233566284,0.9992177486419678,0.9984328150749208,0.7481223940849304,0.6930148005485535,0.9469791054725648,0.3850901126861572
Bv2ekVK,BV2ekVK,0.9950933456420898,0.6412655115127563,0.8925847411155701,0.9979479908943176,0.8841395974159241,0.8102545738220215,0.6520442962646484
BAGrk5M,BAGrk5M,0.995291233062744,0.99518483877182,0.992268979549408,0.993725836277008,0.874652624130249,0.999372661113739,0.997793197631836
j6Pbk8d,jGPbk8d,0.5853834748268127,0.3813843429088592,0.921207845211029,0.9536765813827516,0.9170745015144348,0.9985504746437072,0.9943389296531676
dJVq4Vc,dJVq4VC,0.6254685521125793,0.5476774573326111,0.7224922180175781,0.8736293315887451,0.99762362241745,0.6744769811630249,0.8900880217552185
8hxPqUC,8hxP9UC,0.8919376730918884,0.9891049265861512,0.7858771681785583,0.8993762135505676,0.940265655517578,0.9050623774528505,0.9572465419769288
9J8FR8x,9J8FR8x,0.7681094408035278,0.6654497385025024,0.879753053188324,0.9959918856620787,0.99770325422287,0.9920973777770996,0.6732811331748962
JLbKAPW,JLbKAPW,0.6704243421554565,0.9849073886871338,0.8891983032226562,0.5238891839981079,0.9979119896888732,0.8993762135505676,0.955579161643982
p2YCCwL,p2YCCWL,0.7762027382850647,0.8996057510375977,0.9358145594596864,0.9532638788223268,0.9485082626342772,0.9214925169944764,0.9881961345672609
VBdW2JP,VBdW2Jp,0.8174841403961182,0.9987125396728516,0.4593805074691772,0.9980196952819824,0.9884390234947203,0.66489577293396,0.5234360098838806
5auHjrH,5aUHjrH,0.9842096567153932,0.9990839958190918,0.4847829043865204,0.9998550415039062,0.4057705700397491,0.9449585676193236,0.9923279881477356
t85YpVY,t85YpVY,0.7824936509132385,0.9995179176330566,0.9999992847442628,0.8142110705375671,0.7309193015098572,0.7718248963356018,0.8362445831298828
DkfQAvx,DkFQAVx,0.993699550628662,0.964117705821991,0.972878396511078,0.9980727434158324,0.9826387166976928,0.6850337386131287,0.8138430118560791
4XBEcJm,4xBECjM,0.998196303844452,0.5268078446388245,0.9616017937660216,0.9999972581863404,0.8200646042823792,0.6988742351531982,0.7471780776977539
qLSb98U,qLSb98U,0.768126368522644,0.9867603778839112,0.9414975047111512,0.9362385869026184,0.9701308608055116,0.9985504746437072,0.9572952389717102
VDx7MvQ,VDx7MVQ,0.7895570397377014,0.9472166299819946,0.7572436332702637,0.998724639415741,0.9970382452011108,0.5028936862945557,0.9992864727973938
8AkbyKs,8AkbyKS,0.9852838516235352,0.9977402687072754,0.9690133333206176,0.983567714691162,0.7957105040550232,0.5073878169059753,0.9104071259498596
swcsJkV,SWCSJkV,0.8624979853630066,0.8529727458953857,0.8781668543815613,0.9237496256828308,0.5843254923820496,0.950068473815918,0.7782800793647766
a3JMEVL,a3JMEVL,0.9284141659736632,0.9999979734420776,0.6628925204277039,0.9965351819992064,0.99999737739563,0.8168678879737854,0.9947347640991212
eWwvABJ,eWWVABJ,0.987703025341034,1.0,0.9268258213996888,0.674022912979126,0.9984363913536072,0.9960163235664368,0.5660715103149414
4SbxE73,4SbxE73,0.9972004890441896,0.9188930988311768,0.9509131908416748,0.8062165379524231,0.9994527697563172,0.9993416666984558,0.9999994039535522
7MK9mb2,7Mk9mb2,0.999173939228058,0.9885957837104796,0.5397382974624634,0.8112982511520386,0.799065887928009,0.9980335831642152,0.9690844416618348
nt7Bkpq,nt7Bkpq,0.999947428703308,0.9507806897163392,0.9663373231887816,0.999000608921051,0.9877092838287354,0.759035050868988,0.8284878134727478
Pr9vhfQ,pr9VhFQ,0.5130964517593384,0.9961562752723694,0.9197984933853148,0.5619938373565674,0.9448622465133668,0.978456735610962,0.9995967745780944
eejEEJv,eejEEJV,0.9833987951278688,0.9994992017745972,0.9997052550315856,0.9993582367897034,0.997530162334442,0.6228944659233093,0.883885383605957
5bEfS3B,5bEFS3B,0.9991180300712584,0.987337589263916,0.9999966621398926,0.9447941184043884,0.8994921445846558,0.9999994039535522,0.9938096404075624
sRQuuXq,SRQUUXq,0.8990895748138428,0.997436225414276,0.9989218711853028,0.5263691544532776,0.7890430092811584,0.5783406496047974,0.9134975671768188
Ktj8LWt,Ktj8LWt,0.5547889471054077,0.9997588992118835,0.4816094636917114,0.9982609152793884,0.906220018863678,0.9999974966049194,0.5735391974449158
U9YQFn6,U9YQFnG,0.8296709656715393,0.57694411277771,0.9296917915344238,0.9962071180343628,0.996704638004303,0.9990253448486328,0.36173877120018
LsrSqwM,LSrSqWM,0.99434232711792,0.8363752365112305,0.8731587529182434,0.8973329067230225,0.768126368522644,0.6418411135673523,0.962978720664978
JsfjTVL,JSFjTVL,0.6333420872688293,0.9139151573181152,0.947432577610016,0.6626276969909668,0.9526485800743104,0.7573183178901672,0.9947347640991212
8DucGww,8DUCGWW,0.9873757362365724,0.9835031032562256,0.7357046008110046,0.8985028862953186,0.9581159353256226,0.6314892172813416,0.6563410758972168
YS5fbaJ,YS5FbaJ,0.9410873651504515,0.9019448757171632,0.9999986886978148,0.8608458638191223,0.9976075887680054,0.9981160163879396,0.5671626925468445
CB6Uccb,CBGUCCb,0.9744880199432372,0.9911578297615052,0.3704345822334289,0.9268506169319152,0.8617429137229919,0.8900880217552185,0.9977655410766602
raJC6BU,raJC6BU,0.8938636183738708,0.5843712091445923,0.53950434923172,0.9295969009399414,0.568885862827301,0.9972149133682252,0.9569998383522034
srLSt7F,SrLSt7F,0.9469791054725648,0.993725836277008,0.8544228076934814,0.9063028693199158,0.9270654320716858,0.9995487332344056,0.9422621130943298
9GUyk8x,9GUyk8x,0.6342015266418457,0.9974018335342408,0.916050910949707,0.7912857532501221,0.6571075320243835,0.8399528861045837,0.6192941665649414
kv6XKdU,kVGXkdU,0.5392220616340637,0.5239864587783813,0.738266110420227,0.5208374261856079,0.5392220616340637,0.9169855117797852,0.4573422968387604
SXqjyjP,Sx9jyjP,0.9448704719543456,0.5594576597213745,0.9283286333084106,0.3241035640239715,0.7231437563896179,0.6978963017463684,0.6047192811965942
3BWt5KR,3BWt5KR,0.9999992847442628,0.9870234727859496,0.9990302324295044,0.9998425245285034,0.9973196387290956,0.5373269319534302,0.9943119287490844
wMRXVvY,WMRXVVY,0.8019954562187195,0.965146005153656,0.9973284006118774,0.6470335125923157,0.8008029460906982,0.580898106098175,0.7924214005470276
hQ75kCj,hQ75kCj,0.7480339407920837,0.9962366223335266,0.99477356672287,0.999997615814209,0.852604329586029,0.96687114238739,0.4816095232963562
rTRMVq7,rTRMVq7,0.9596105217933656,0.9996351003646852,0.9979349374771118,0.9909391403198242,0.7072669267654419,0.9841182231903076,0.998728096485138
RhCWXfw,RhCWxFW,0.970999538898468,0.8939255475997925,0.9580212831497192,0.9999998807907104,0.5590153336524963,0.8737853765487671,0.665569543838501
v7kUfPj,V7kUFPj,0.5659438371658325,0.998953342437744,0.9901593327522278,0.9322493672370912,0.9639403223991394,0.444375604391098,0.999385952949524
LseBABT,LSeBABT,0.9222739338874816,0.9276719093322754,0.9853155612945556,0.999458372592926,0.9979698061943054,0.9994648098945618,0.9925064444541932
LXtGc6E,LXtGC6E,0.905935764312744,0.5083729028701782,0.9689699411392212,0.9972476363182068,0.8934770822525024,0.7272174954414368,0.992695450782776
TtYmB2F,TtYMB2F,0.96186763048172,0.984208881855011,0.8349698185920715,0.9113053679466248,0.9965217113494872,0.9785834550857544,0.9474325180053712
p7hL5vX,p7hL5VX,0.7267253398895264,0.996666133403778,0.7296595573425293,0.9151462912559508,0.9999996423721312,0.5619938373565674,0.5429693460464478
fLPXuy8,FLPxUy8,0.9314552545547484,0.992611825466156,0.921207845211029,0.5013353824615479,0.6774709224700928,0.7506866455078125,0.9654088020324708
9BSC7wB,9BSC7WB,0.8189669251441956,0.9957200884819032,0.9183103442192078,0.9556593894958496,0.9915086030960084,0.8333712220191956,0.997927188873291
